target,kind,feature,l1_error,values
free_size,exact,rows__shared__count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rows__reverse__count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__to_A__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__to_B__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__to_C__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__from_A__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__from_B__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__from_C__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__to_slot__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__to_A__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__to_B__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__to_C__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__to_A__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__to_B__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__to_C__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__from_slot__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__from_A__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__from_B__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__from_C__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__from_A__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__from_B__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__from_C__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__A_delta__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__to_slot__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__to_slot__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__from_slot__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__to_A__inter__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__to_A__union__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__to_B__inter__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__to_B__union__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__to_C__inter__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__to_C__union__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__from_slot__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__to_fiber_mod15__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q0__to_A__cpath_minus__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q0__to_B__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q0__to_C__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q3__to_A__cpath_minus__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q3__to_B__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q3__to_C__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__from_A__inter__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__from_A__union__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__from_B__inter__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__from_B__union__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__from_C__inter__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__from_C__union__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__to_A__cpath_minus__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__to_A__minus_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__to_B__inter_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__to_B__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__to_C__inter_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__to_C__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__to_slot__inter__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__to_slot__union__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__all__from_fiber_mod15__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q0__from_A__cpath_minus__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q0__from_B__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q0__from_C__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q3__from_A__cpath_minus__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q3__from_B__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q3__from_C__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__shared__to_fiber_mod15__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__from_A__cpath_minus__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__from_A__minus_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__from_B__inter_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__from_B__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__from_C__inter_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__from_C__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q0__to_slot__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q3__C_delta__cpath_minus__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__q3__to_slot__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__from_slot__inter__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,rolecouple__from_slot__union__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,set__reverse__to_fiber_mod15__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__to_slot__inter_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__all__to_slot__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__shared__to_A__cpath_minus__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__shared__to_A__minus_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__shared__to_B__inter_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,exact,op__shared__to_B__union_cpath__size,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,nearest,set__q0__to_A__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,set__q0__to_B__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,set__q0__from_A__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,set__q0__from_B__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,set__q0__A_delta__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,set__q0__B_delta__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,set__q0__to_slot__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,set__q0__from_slot__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,set__q0__slot_delta__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,op__q0__to_A__minus_cpath__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,op__q0__to_B__inter_cpath__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,op__q0__from_A__minus_cpath__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,op__q0__from_B__inter_cpath__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,op__q0__B_delta__cpath_minus__size,1,"{""B0"": 2, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,nearest,op__q0__to_slot__inter_cpath__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,op__q0__from_slot__inter_cpath__size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 3}"
free_size,nearest,op__q0__slot_delta__cpath_minus__size,1,"{""B0"": 2, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,nearest,op__shared__B_delta__cpath_minus__size,1,"{""B0"": 2, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,nearest,op__reverse__A_delta__cpath_minus__size,1,"{""B0"": 2, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,nearest,op__reverse__B_delta__cpath_minus__size,1,"{""B0"": 2, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,op__q0__A_delta__cpath_minus__sum,6,"{""B0"": 5, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,op__station_ZT__A_delta__cpath_minus__sum,6,"{""B0"": 5, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,op__rolepair_WX_ZT__A_delta__cpath_minus__sum,6,"{""B0"": 5, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__all__to_B__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__all__to_C__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__all__from_B__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__all__from_C__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__all__to_slot__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__shared__to_B__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__shared__to_C__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__reverse__to_B__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__reverse__to_C__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__all__from_slot__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__shared__from_B__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__shared__from_C__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__reverse__from_B__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__reverse__from_C__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__shared__to_slot__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__reverse__to_slot__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_sum,nearest,set__shared__from_slot__sum,8,"{""B0"": 7, ""B1"": 11, ""O0"": 27, ""O1"": 24}"
free_min,nearest,set__q3__to_C__range,3,"{""B0"": 0, ""B1"": 0, ""O0"": 9, ""O1"": 0}"
free_min,nearest,set__q3__to_fiber_mod15__range,3,"{""B0"": 0, ""B1"": 0, ""O0"": 9, ""O1"": 0}"
free_min,nearest,op__q0__to_C__cpath_minus__range,3,"{""B0"": 0, ""B1"": 0, ""O0"": 9, ""O1"": 0}"
free_min,nearest,op__q3__to_C__inter_cpath__range,3,"{""B0"": 0, ""B1"": 0, ""O0"": 9, ""O1"": 0}"
free_min,nearest,op__q0__to_fiber_mod15__cpath_minus__range,3,"{""B0"": 0, ""B1"": 0, ""O0"": 9, ""O1"": 0}"
