state,candidate_index,free_block,sum_free,min_free,is_selected,matches_observed
O0,0,"[0, 1, 3]",4,0,0,0
O0,1,"[0, 1, 6]",7,0,0,0
O0,2,"[0, 1, 8]",9,0,0,0
O0,3,"[0, 1, 9]",10,0,0,0
O0,4,"[0, 1, 10]",11,0,0,0
O0,5,"[0, 1, 12]",13,0,0,0
O0,6,"[0, 1, 13]",14,0,0,0
O0,7,"[0, 3, 6]",9,0,0,0
O0,8,"[0, 3, 8]",11,0,0,0
O0,9,"[0, 3, 9]",12,0,0,0
O0,10,"[0, 3, 10]",13,0,0,0
O0,11,"[0, 3, 12]",15,0,0,0
O0,12,"[0, 3, 13]",16,0,0,0
O0,13,"[0, 6, 8]",14,0,0,0
O0,14,"[0, 6, 9]",15,0,0,0
O0,15,"[0, 6, 10]",16,0,0,0
O0,16,"[0, 6, 12]",18,0,0,0
O0,17,"[0, 6, 13]",19,0,0,0
O0,18,"[0, 8, 9]",17,0,0,0
O0,19,"[0, 8, 10]",18,0,0,0
O0,20,"[0, 8, 12]",20,0,0,0
O0,21,"[0, 8, 13]",21,0,0,0
O0,22,"[0, 9, 10]",19,0,0,0
O0,23,"[0, 9, 12]",21,0,0,0
O0,24,"[0, 9, 13]",22,0,0,0
O0,25,"[0, 10, 12]",22,0,0,0
O0,26,"[0, 10, 13]",23,0,0,0
O0,27,"[0, 12, 13]",25,0,0,0
O0,28,"[1, 3, 6]",10,1,0,0
O0,29,"[1, 3, 8]",12,1,0,0
O0,30,"[1, 3, 9]",13,1,0,0
O0,31,"[1, 3, 10]",14,1,0,0
O0,32,"[1, 3, 12]",16,1,0,0
O0,33,"[1, 3, 13]",17,1,0,0
O0,34,"[1, 6, 8]",15,1,0,0
O0,35,"[1, 6, 9]",16,1,0,0
O0,36,"[1, 6, 10]",17,1,0,0
O0,37,"[1, 6, 12]",19,1,0,0
O0,38,"[1, 6, 13]",20,1,0,0
O0,39,"[1, 8, 9]",18,1,0,0
O0,40,"[1, 8, 10]",19,1,0,0
O0,41,"[1, 8, 12]",21,1,0,0
O0,42,"[1, 8, 13]",22,1,0,0
O0,43,"[1, 9, 10]",20,1,0,0
O0,44,"[1, 9, 12]",22,1,0,0
O0,45,"[1, 9, 13]",23,1,0,0
O0,46,"[1, 10, 12]",23,1,0,0
O0,47,"[1, 10, 13]",24,1,0,0
O0,48,"[1, 12, 13]",26,1,0,0
O0,49,"[3, 6, 8]",17,3,0,0
O0,50,"[3, 6, 9]",18,3,0,0
O0,51,"[3, 6, 10]",19,3,0,0
O0,52,"[3, 6, 12]",21,3,0,0
O0,53,"[3, 6, 13]",22,3,0,0
O0,54,"[3, 8, 9]",20,3,0,0
O0,55,"[3, 8, 10]",21,3,0,0
O0,56,"[3, 8, 12]",23,3,0,0
O0,57,"[3, 8, 13]",24,3,0,0
O0,58,"[3, 9, 10]",22,3,0,0
O0,59,"[3, 9, 12]",24,3,0,0
O0,60,"[3, 9, 13]",25,3,0,0
O0,61,"[3, 10, 12]",25,3,0,0
O0,62,"[3, 10, 13]",26,3,0,0
O0,63,"[3, 12, 13]",28,3,0,0
O0,64,"[6, 8, 9]",23,6,0,0
O0,65,"[6, 8, 10]",24,6,0,0
O0,66,"[6, 8, 12]",26,6,0,0
O0,67,"[6, 8, 13]",27,6,0,0
O0,68,"[6, 9, 10]",25,6,0,0
O0,69,"[6, 9, 12]",27,6,0,0
O0,70,"[6, 9, 13]",28,6,0,0
O0,71,"[6, 10, 12]",28,6,0,0
O0,72,"[6, 10, 13]",29,6,0,0
O0,73,"[6, 12, 13]",31,6,0,0
O0,74,"[8, 9, 10]",27,8,0,0
O0,75,"[8, 9, 12]",29,8,1,1
O0,76,"[8, 9, 13]",30,8,0,0
O0,77,"[8, 10, 12]",30,8,0,0
O0,78,"[8, 10, 13]",31,8,0,0
O0,79,"[8, 12, 13]",33,8,0,0
O0,80,"[9, 10, 12]",31,9,0,0
O0,81,"[9, 10, 13]",32,9,0,0
O0,82,"[9, 12, 13]",34,9,0,0
O0,83,"[10, 12, 13]",35,10,0,0
O1,0,"[0, 3, 13]",16,0,0,0
O1,1,"[0, 5, 13]",18,0,0,0
O1,2,"[0, 6, 13]",19,0,0,0
O1,3,"[0, 7, 13]",20,0,0,0
O1,4,"[0, 8, 13]",21,0,0,0
O1,5,"[0, 11, 13]",24,0,0,0
O1,6,"[0, 12, 13]",25,0,0,0
O1,7,"[0, 13, 14]",27,0,1,1
O1,8,"[3, 5, 13]",21,3,0,0
O1,9,"[3, 6, 13]",22,3,0,0
O1,10,"[3, 7, 13]",23,3,0,0
O1,11,"[3, 8, 13]",24,3,0,0
O1,12,"[3, 11, 13]",27,3,0,0
O1,13,"[3, 12, 13]",28,3,0,0
O1,14,"[3, 13, 14]",30,3,0,0
O1,15,"[5, 6, 13]",24,5,0,0
O1,16,"[5, 7, 13]",25,5,0,0
O1,17,"[5, 8, 13]",26,5,0,0
O1,18,"[5, 11, 13]",29,5,0,0
O1,19,"[5, 12, 13]",30,5,0,0
O1,20,"[5, 13, 14]",32,5,0,0
O1,21,"[6, 7, 13]",26,6,0,0
O1,22,"[6, 8, 13]",27,6,0,0
O1,23,"[6, 11, 13]",30,6,0,0
O1,24,"[6, 12, 13]",31,6,0,0
O1,25,"[6, 13, 14]",33,6,0,0
O1,26,"[7, 8, 13]",28,7,0,0
O1,27,"[7, 11, 13]",31,7,0,0
O1,28,"[7, 12, 13]",32,7,0,0
O1,29,"[7, 13, 14]",34,7,0,0
O1,30,"[8, 11, 13]",32,8,0,0
O1,31,"[8, 12, 13]",33,8,0,0
O1,32,"[8, 13, 14]",35,8,0,0
O1,33,"[11, 12, 13]",36,11,0,0
O1,34,"[11, 13, 14]",38,11,0,0
O1,35,"[12, 13, 14]",39,12,0,0
B0,0,"[0, 1, 2]",3,0,0,0
B0,1,"[0, 2, 3]",5,0,1,1
B0,2,"[0, 2, 6]",8,0,0,0
B0,3,"[0, 2, 7]",9,0,0,0
B0,4,"[0, 2, 9]",11,0,0,0
B0,5,"[0, 2, 10]",12,0,0,0
B0,6,"[0, 2, 11]",13,0,0,0
B0,7,"[0, 2, 12]",14,0,0,0
B0,8,"[0, 2, 13]",15,0,0,0
B0,9,"[0, 2, 14]",16,0,0,0
B1,0,"[0, 1, 2]",3,0,0,0
B1,1,"[0, 2, 3]",5,0,0,0
B1,2,"[0, 2, 6]",8,0,0,0
B1,3,"[0, 2, 7]",9,0,0,0
B1,4,"[0, 2, 9]",11,0,0,0
B1,5,"[0, 2, 11]",13,0,0,0
B1,6,"[0, 2, 12]",14,0,0,0
B1,7,"[0, 2, 14]",16,0,0,0
B1,8,"[1, 2, 3]",6,1,0,0
B1,9,"[1, 2, 6]",9,1,0,0
B1,10,"[1, 2, 7]",10,1,0,0
B1,11,"[1, 2, 9]",12,1,0,0
B1,12,"[1, 2, 11]",14,1,0,0
B1,13,"[1, 2, 12]",15,1,0,0
B1,14,"[1, 2, 14]",17,1,0,0
B1,15,"[2, 3, 6]",11,2,0,0
B1,16,"[2, 3, 7]",12,2,1,1
B1,17,"[2, 3, 9]",14,2,0,0
B1,18,"[2, 3, 11]",16,2,0,0
B1,19,"[2, 3, 12]",17,2,0,0
B1,20,"[2, 3, 14]",19,2,0,0
B1,21,"[2, 6, 7]",15,2,0,0
B1,22,"[2, 6, 9]",17,2,0,0
B1,23,"[2, 6, 11]",19,2,0,0
B1,24,"[2, 6, 12]",20,2,0,0
B1,25,"[2, 6, 14]",22,2,0,0
B1,26,"[2, 7, 9]",18,2,0,0
B1,27,"[2, 7, 11]",20,2,0,0
B1,28,"[2, 7, 12]",21,2,0,0
B1,29,"[2, 7, 14]",23,2,0,0
B1,30,"[2, 9, 11]",22,2,0,0
B1,31,"[2, 9, 12]",23,2,0,0
B1,32,"[2, 9, 14]",25,2,0,0
B1,33,"[2, 11, 12]",25,2,0,0
B1,34,"[2, 11, 14]",27,2,0,0
B1,35,"[2, 12, 14]",28,2,0,0
