state,candidate_index,rank,support_sum,orientation_count,matches_observed,is_selected,residue_set,cycle
O0,0,1,24,6,0,0,"[0, 2, 4, 8, 11, 14]","[[0, 8], [2, 4], [11, 14]]"
O0,1,2,24,6,0,1,"[0, 2, 5, 8, 11, 14]","[[0, 8], [2, 5], [11, 14]]"
O0,2,3,24,6,0,0,"[0, 4, 6, 9, 10, 12]","[[0, 9], [4, 6], [10, 12]]"
O0,3,4,24,6,0,0,"[1, 3, 4, 7, 12, 13]","[[1, 4], [3, 13], [7, 12]]"
O0,4,5,24,6,0,0,"[2, 5, 7, 8, 11, 14]","[[2, 5], [7, 8], [11, 14]]"
O0,5,6,24,6,0,0,"[2, 5, 8, 11, 13, 14]","[[2, 5], [8, 13], [11, 14]]"
O0,6,7,24,6,0,0,"[2, 7, 8, 11, 13, 14]","[[2, 7], [8, 13], [11, 14]]"
O0,7,8,24,6,0,0,"[3, 4, 6, 9, 10, 12]","[[3, 6], [4, 9], [10, 12]]"
O0,8,9,23,6,0,0,"[0, 2, 5, 8, 11, 14]","[[0, 2], [5, 8], [11, 14]]"
O0,9,10,23,6,0,0,"[0, 3, 4, 9, 10, 12]","[[0, 3], [4, 9], [10, 12]]"
O0,10,11,23,6,0,0,"[0, 1, 5, 8, 11, 14]","[[0, 5], [1, 8], [11, 14]]"
O0,11,12,23,6,0,0,"[0, 4, 5, 8, 11, 14]","[[0, 5], [4, 8], [11, 14]]"
O0,12,13,23,6,0,0,"[0, 4, 6, 9, 10, 12]","[[0, 6], [4, 9], [10, 12]]"
O0,13,14,23,6,0,0,"[0, 4, 5, 8, 11, 14]","[[0, 8], [4, 5], [11, 14]]"
O0,14,15,23,6,0,0,"[0, 2, 4, 6, 9, 10]","[[0, 9], [2, 10], [4, 6]]"
O0,15,16,23,6,0,0,"[1, 2, 5, 8, 11, 14]","[[1, 2], [5, 8], [11, 14]]"
O0,16,17,23,6,0,0,"[1, 3, 5, 7, 11, 14]","[[1, 3], [5, 7], [11, 14]]"
O0,17,18,23,6,0,0,"[1, 3, 6, 7, 12, 13]","[[1, 6], [3, 13], [7, 12]]"
O0,18,19,23,6,0,0,"[1, 2, 5, 8, 11, 14]","[[1, 8], [2, 5], [11, 14]]"
O0,19,20,23,6,0,0,"[1, 3, 7, 9, 12, 13]","[[1, 9], [3, 13], [7, 12]]"
O0,20,21,23,6,0,0,"[1, 3, 7, 12, 13, 14]","[[1, 14], [3, 13], [7, 12]]"
O0,21,22,23,6,0,0,"[2, 4, 5, 8, 11, 14]","[[2, 4], [5, 8], [11, 14]]"
O0,22,23,23,6,0,0,"[2, 4, 8, 12, 13, 14]","[[2, 4], [8, 13], [12, 14]]"
O0,23,24,23,6,0,0,"[2, 3, 5, 8, 11, 14]","[[2, 5], [3, 8], [11, 14]]"
O0,24,25,23,6,0,0,"[2, 5, 7, 8, 11, 14]","[[2, 7], [5, 8], [11, 14]]"
O0,25,26,23,6,0,0,"[2, 5, 7, 11, 13, 14]","[[2, 7], [5, 13], [11, 14]]"
O0,26,27,23,6,0,0,"[3, 4, 7, 8, 11, 12]","[[3, 4], [7, 8], [11, 12]]"
O0,27,28,23,6,0,0,"[3, 5, 7, 8, 11, 14]","[[3, 5], [7, 8], [11, 14]]"
O0,28,29,23,6,0,0,"[3, 6, 7, 9, 10, 12]","[[3, 6], [7, 9], [10, 12]]"
O0,29,30,23,6,0,0,"[3, 4, 7, 8, 11, 12]","[[3, 8], [4, 11], [7, 12]]"
O0,30,31,23,6,0,0,"[3, 5, 7, 8, 11, 14]","[[3, 8], [5, 7], [11, 14]]"
O0,31,32,23,6,0,0,"[3, 4, 6, 9, 10, 12]","[[3, 9], [4, 6], [10, 12]]"
O0,32,33,23,6,0,0,"[4, 5, 7, 8, 11, 14]","[[4, 5], [7, 8], [11, 14]]"
O0,33,34,22,6,0,0,"[0, 2, 4, 8, 11, 14]","[[0, 2], [4, 8], [11, 14]]"
O0,34,35,22,6,0,0,"[0, 3, 4, 6, 10, 12]","[[0, 3], [4, 6], [10, 12]]"
O0,35,36,22,6,0,0,"[0, 1, 4, 5, 11, 14]","[[0, 5], [1, 4], [11, 14]]"
O0,36,37,22,6,0,0,"[0, 2, 5, 8, 11, 14]","[[0, 5], [2, 8], [11, 14]]"
O0,37,38,22,6,0,0,"[0, 4, 5, 8, 11, 14]","[[0, 5], [4, 11], [8, 14]]"
O0,38,39,22,6,0,0,"[0, 5, 7, 8, 11, 14]","[[0, 5], [7, 8], [11, 14]]"
O0,39,40,22,6,0,0,"[0, 2, 4, 6, 9, 10]","[[0, 6], [2, 10], [4, 9]]"
O0,40,41,22,6,0,0,"[0, 1, 4, 7, 10, 11]","[[0, 7], [1, 4], [10, 11]]"
O0,41,42,22,6,0,0,"[0, 1, 4, 7, 10, 13]","[[0, 7], [1, 4], [10, 13]]"
O0,42,43,22,6,0,0,"[0, 1, 4, 7, 10, 14]","[[0, 7], [1, 4], [10, 14]]"
O0,43,44,22,6,0,0,"[0, 4, 5, 7, 11, 14]","[[0, 7], [4, 5], [11, 14]]"
O0,44,45,22,6,0,0,"[0, 1, 4, 8, 11, 12]","[[0, 8], [1, 4], [11, 12]]"
O0,45,46,22,6,0,0,"[0, 2, 4, 8, 10, 11]","[[0, 8], [2, 4], [10, 11]]"
O0,46,47,22,6,0,0,"[0, 2, 4, 8, 11, 12]","[[0, 8], [2, 4], [11, 12]]"
O0,47,48,22,6,0,0,"[0, 3, 4, 6, 9, 10]","[[0, 9], [3, 10], [4, 6]]"
O0,48,49,22,6,0,0,"[0, 4, 6, 9, 10, 13]","[[0, 9], [4, 6], [10, 13]]"
O0,49,50,22,6,0,0,"[0, 1, 4, 8, 10, 12]","[[0, 12], [1, 4], [8, 10]]"
O1,0,1,24,6,0,0,"[0, 2, 4, 8, 11, 14]","[[0, 8], [2, 4], [11, 14]]"
O1,1,2,24,6,0,0,"[0, 2, 5, 8, 11, 14]","[[0, 8], [2, 5], [11, 14]]"
O1,2,3,24,6,0,0,"[0, 4, 6, 9, 10, 12]","[[0, 9], [4, 6], [10, 12]]"
O1,3,4,24,6,0,1,"[1, 3, 4, 7, 12, 13]","[[1, 4], [3, 13], [7, 12]]"
O1,4,5,24,6,0,0,"[1, 3, 6, 9, 10, 12]","[[1, 9], [3, 6], [10, 12]]"
O1,5,6,24,6,0,0,"[2, 5, 7, 8, 11, 14]","[[2, 5], [7, 8], [11, 14]]"
O1,6,7,24,6,0,0,"[2, 5, 8, 11, 13, 14]","[[2, 5], [8, 13], [11, 14]]"
O1,7,8,24,6,0,0,"[2, 7, 8, 11, 13, 14]","[[2, 7], [8, 13], [11, 14]]"
O1,8,9,24,6,0,0,"[2, 6, 9, 10, 12, 13]","[[2, 12], [6, 9], [10, 13]]"
O1,9,10,24,6,0,0,"[3, 4, 6, 9, 10, 12]","[[3, 6], [4, 9], [10, 12]]"
O1,10,11,23,6,0,0,"[0, 2, 5, 8, 11, 14]","[[0, 2], [5, 8], [11, 14]]"
O1,11,12,23,6,0,0,"[0, 2, 6, 9, 10, 13]","[[0, 2], [6, 9], [10, 13]]"
O1,12,13,23,6,0,0,"[0, 3, 4, 9, 10, 12]","[[0, 3], [4, 9], [10, 12]]"
O1,13,14,23,6,0,0,"[0, 3, 6, 9, 10, 12]","[[0, 3], [6, 9], [10, 12]]"
O1,14,15,23,6,0,0,"[0, 4, 5, 8, 11, 14]","[[0, 5], [4, 8], [11, 14]]"
O1,15,16,23,6,0,0,"[0, 4, 6, 9, 10, 12]","[[0, 6], [4, 9], [10, 12]]"
O1,16,17,23,6,0,0,"[0, 4, 5, 8, 11, 14]","[[0, 8], [4, 5], [11, 14]]"
O1,17,18,23,6,0,0,"[0, 1, 6, 9, 10, 12]","[[0, 9], [1, 6], [10, 12]]"
O1,18,19,23,6,0,0,"[0, 2, 6, 9, 10, 13]","[[0, 9], [2, 6], [10, 13]]"
O1,19,20,23,6,0,0,"[0, 2, 4, 6, 9, 10]","[[0, 9], [2, 10], [4, 6]]"
O1,20,21,23,6,0,0,"[0, 3, 6, 9, 10, 12]","[[0, 9], [3, 6], [10, 12]]"
O1,21,22,23,6,0,0,"[0, 2, 6, 9, 10, 13]","[[0, 13], [2, 10], [6, 9]]"
O1,22,23,23,6,0,0,"[1, 2, 5, 8, 11, 14]","[[1, 2], [5, 8], [11, 14]]"
O1,23,24,23,6,0,0,"[1, 2, 8, 12, 13, 14]","[[1, 2], [8, 13], [12, 14]]"
O1,24,25,23,6,0,0,"[1, 3, 6, 9, 10, 12]","[[1, 6], [3, 9], [10, 12]]"
O1,25,26,23,6,0,0,"[1, 6, 9, 10, 12, 13]","[[1, 6], [9, 13], [10, 12]]"
O1,26,27,23,6,0,0,"[1, 2, 5, 8, 11, 14]","[[1, 8], [2, 5], [11, 14]]"
O1,27,28,23,6,0,0,"[1, 3, 7, 9, 12, 13]","[[1, 9], [3, 13], [7, 12]]"
O1,28,29,23,6,0,0,"[2, 3, 6, 9, 10, 12]","[[2, 3], [6, 9], [10, 12]]"
O1,29,30,23,6,0,0,"[2, 4, 5, 8, 11, 14]","[[2, 4], [5, 8], [11, 14]]"
O1,30,31,23,6,0,0,"[2, 4, 8, 12, 13, 14]","[[2, 4], [8, 13], [12, 14]]"
O1,31,32,23,6,0,0,"[2, 3, 5, 8, 11, 14]","[[2, 5], [3, 8], [11, 14]]"
O1,32,33,23,6,0,0,"[2, 6, 9, 10, 12, 13]","[[2, 6], [9, 13], [10, 12]]"
O1,33,34,23,6,0,0,"[2, 5, 7, 8, 11, 14]","[[2, 7], [5, 8], [11, 14]]"
O1,34,35,23,6,0,0,"[2, 5, 7, 11, 13, 14]","[[2, 7], [5, 13], [11, 14]]"
O1,35,36,23,6,0,0,"[2, 6, 8, 9, 12, 13]","[[2, 12], [6, 8], [9, 13]]"
O1,36,37,23,6,0,0,"[2, 6, 8, 12, 13, 14]","[[2, 12], [6, 14], [8, 13]]"
O1,37,38,23,6,0,0,"[3, 4, 7, 8, 11, 12]","[[3, 4], [7, 8], [11, 12]]"
O1,38,39,23,6,0,0,"[3, 6, 7, 9, 10, 12]","[[3, 6], [7, 9], [10, 12]]"
O1,39,40,23,6,0,0,"[3, 6, 9, 10, 12, 13]","[[3, 6], [9, 13], [10, 12]]"
O1,40,41,23,6,0,0,"[3, 4, 7, 8, 11, 12]","[[3, 8], [4, 11], [7, 12]]"
O1,41,42,23,6,0,0,"[3, 4, 6, 9, 10, 12]","[[3, 9], [4, 6], [10, 12]]"
O1,42,43,23,6,0,0,"[3, 6, 9, 10, 12, 13]","[[3, 13], [6, 9], [10, 12]]"
O1,43,44,23,6,0,0,"[4, 5, 7, 8, 11, 14]","[[4, 5], [7, 8], [11, 14]]"
O1,44,45,22,6,0,0,"[0, 2, 4, 8, 11, 14]","[[0, 2], [4, 8], [11, 14]]"
O1,45,46,22,6,0,0,"[0, 2, 8, 11, 13, 14]","[[0, 2], [8, 13], [11, 14]]"
O1,46,47,22,6,0,0,"[0, 1, 3, 9, 10, 12]","[[0, 3], [1, 9], [10, 12]]"
O1,47,48,22,6,0,0,"[0, 3, 4, 6, 10, 12]","[[0, 3], [4, 6], [10, 12]]"
O1,48,49,22,6,0,0,"[0, 1, 4, 5, 11, 14]","[[0, 5], [1, 4], [11, 14]]"
O1,49,50,22,6,0,0,"[0, 2, 5, 8, 11, 14]","[[0, 5], [2, 8], [11, 14]]"
B0,0,1,19,2,0,0,"[2, 5, 8, 11, 14]","[[2, 5], [8], [11, 14]]"
B0,1,2,18,2,0,0,"[2, 5, 8, 11, 14]","[[2], [5, 8], [11, 14]]"
B0,2,3,17,2,0,0,"[0, 2, 8, 11, 14]","[[0, 2], [8], [11, 14]]"
B0,3,4,17,2,0,0,"[0, 5, 8, 11, 14]","[[0, 5], [8], [11, 14]]"
B0,4,5,17,2,0,0,"[0, 2, 8, 11, 14]","[[0, 8], [2], [11, 14]]"
B0,5,6,17,2,0,0,"[0, 2, 4, 8, 11]","[[0, 8], [2, 4], [11]]"
B0,6,7,17,2,0,0,"[2, 8, 11, 13, 14]","[[2], [8, 13], [11, 14]]"
B0,7,8,17,2,0,0,"[2, 8, 12, 13, 14]","[[2], [8, 13], [12, 14]]"
B0,8,9,17,2,0,1,"[2, 5, 8, 11, 14]","[[2, 5], [8, 14], [11]]"
B0,9,10,17,2,0,0,"[2, 7, 8, 13, 14]","[[2, 7], [8, 13], [14]]"
B0,10,11,17,2,0,0,"[2, 6, 8, 12, 13]","[[2, 12], [6], [8, 13]]"
B0,11,12,17,2,0,0,"[2, 6, 8, 12, 13]","[[2, 12], [6, 8], [13]]"
B0,12,13,17,2,0,0,"[2, 8, 12, 13, 14]","[[2, 12], [8, 13], [14]]"
B0,13,14,17,2,0,0,"[3, 4, 8, 11, 12]","[[3, 8], [4], [11, 12]]"
B0,14,15,17,2,0,0,"[5, 7, 8, 11, 14]","[[5], [7, 8], [11, 14]]"
B0,15,16,16,2,0,0,"[0, 5, 8, 11, 14]","[[0], [5, 8], [11, 14]]"
B0,16,17,16,2,0,0,"[0, 2, 4, 8, 11]","[[0, 2], [4, 11], [8]]"
B0,17,18,16,2,0,0,"[0, 4, 5, 8, 11]","[[0, 5], [4, 11], [8]]"
B0,18,19,16,2,0,0,"[0, 2, 4, 8, 11]","[[0, 8], [2], [4, 11]]"
B0,19,20,16,2,0,0,"[0, 2, 4, 8, 14]","[[0, 8], [2, 4], [14]]"
B0,20,21,16,2,0,0,"[0, 4, 8, 11, 12]","[[0, 8], [4], [11, 12]]"
B0,21,22,16,2,0,0,"[0, 4, 8, 11, 14]","[[0, 8], [4], [11, 14]]"
B0,22,23,16,2,0,0,"[0, 5, 8, 11, 14]","[[0, 8], [5], [11, 14]]"
B0,23,24,16,2,0,0,"[0, 2, 4, 8, 11]","[[0, 11], [2, 4], [8]]"
B0,24,25,16,2,0,0,"[0, 1, 4, 8, 12]","[[0, 12], [1, 4], [8]]"
B0,25,26,16,2,0,0,"[0, 4, 8, 11, 12]","[[0, 12], [4, 11], [8]]"
B0,26,27,16,2,0,0,"[1, 2, 8, 12, 13]","[[1], [2, 12], [8, 13]]"
B0,27,28,16,2,0,0,"[1, 3, 8, 11, 12]","[[1], [3, 8], [11, 12]]"
B0,28,29,16,2,0,0,"[1, 5, 8, 11, 14]","[[1], [5, 8], [11, 14]]"
B0,29,30,16,2,0,0,"[1, 2, 8, 12, 13]","[[1, 2], [8, 13], [12]]"
B0,30,31,16,2,0,0,"[1, 2, 8, 13, 14]","[[1, 2], [8, 13], [14]]"
B0,31,32,16,2,0,0,"[1, 5, 8, 11, 14]","[[1, 8], [5], [11, 14]]"
B0,32,33,16,2,0,0,"[2, 3, 8, 11, 12]","[[2], [3, 8], [11, 12]]"
B0,33,34,16,2,0,0,"[2, 6, 8, 13, 14]","[[2], [6, 14], [8, 13]]"
B0,34,35,16,2,0,0,"[2, 7, 8, 11, 13]","[[2], [7, 8], [11, 13]]"
B0,35,36,16,2,0,0,"[2, 7, 8, 11, 14]","[[2], [7, 8], [11, 14]]"
B0,36,37,16,2,0,0,"[2, 8, 11, 12, 13]","[[2], [8, 13], [11, 12]]"
B0,37,38,16,2,0,0,"[2, 3, 8, 11, 12]","[[2, 3], [8], [11, 12]]"
B0,38,39,16,2,0,0,"[2, 4, 8, 11, 12]","[[2, 4], [8], [11, 12]]"
B0,39,40,16,2,0,0,"[2, 4, 8, 11, 14]","[[2, 4], [8], [11, 14]]"
B0,40,41,16,2,0,0,"[2, 4, 8, 12, 13]","[[2, 4], [8, 13], [12]]"
B0,41,42,16,2,0,0,"[2, 4, 8, 13, 14]","[[2, 4], [8, 13], [14]]"
B0,42,43,16,2,0,0,"[2, 5, 8, 11, 14]","[[2, 5], [8, 11], [14]]"
B0,43,44,16,2,0,0,"[2, 5, 8, 13, 14]","[[2, 5], [8, 13], [14]]"
B0,44,45,16,2,0,0,"[2, 7, 8, 11, 13]","[[2, 7], [8], [11, 13]]"
B0,45,46,16,2,0,0,"[2, 7, 8, 11, 14]","[[2, 7], [8], [11, 14]]"
B0,46,47,16,2,0,0,"[2, 7, 8, 11, 13]","[[2, 7], [8, 13], [11]]"
B0,47,48,16,2,0,0,"[2, 5, 8, 11, 14]","[[2, 8], [5], [11, 14]]"
B0,48,49,16,2,0,0,"[2, 6, 8, 9, 10]","[[2, 10], [6], [8, 9]]"
B0,49,50,16,2,0,0,"[2, 6, 8, 9, 10]","[[2, 10], [6, 8], [9]]"
B1,0,1,24,6,0,0,"[0, 2, 4, 8, 11, 14]","[[0, 8], [2, 4], [11, 14]]"
B1,1,2,24,6,0,0,"[0, 2, 5, 8, 11, 14]","[[0, 8], [2, 5], [11, 14]]"
B1,2,3,24,6,0,0,"[2, 5, 7, 8, 11, 14]","[[2, 5], [7, 8], [11, 14]]"
B1,3,4,24,6,0,0,"[2, 5, 8, 11, 13, 14]","[[2, 5], [8, 13], [11, 14]]"
B1,4,5,24,6,0,0,"[2, 7, 8, 11, 13, 14]","[[2, 7], [8, 13], [11, 14]]"
B1,5,6,23,6,0,0,"[0, 2, 5, 8, 11, 14]","[[0, 2], [5, 8], [11, 14]]"
B1,6,7,23,6,0,0,"[0, 1, 5, 8, 11, 14]","[[0, 5], [1, 8], [11, 14]]"
B1,7,8,23,6,0,0,"[0, 4, 5, 8, 11, 14]","[[0, 5], [4, 8], [11, 14]]"
B1,8,9,23,6,0,0,"[0, 4, 5, 8, 11, 14]","[[0, 8], [4, 5], [11, 14]]"
B1,9,10,23,6,0,1,"[1, 2, 5, 8, 11, 14]","[[1, 2], [5, 8], [11, 14]]"
B1,10,11,23,6,0,0,"[1, 2, 8, 12, 13, 14]","[[1, 2], [8, 13], [12, 14]]"
B1,11,12,23,6,0,0,"[1, 2, 5, 8, 11, 14]","[[1, 8], [2, 5], [11, 14]]"
B1,12,13,23,6,0,0,"[2, 4, 5, 8, 11, 14]","[[2, 4], [5, 8], [11, 14]]"
B1,13,14,23,6,0,0,"[2, 4, 8, 12, 13, 14]","[[2, 4], [8, 13], [12, 14]]"
B1,14,15,23,6,0,0,"[2, 3, 5, 8, 11, 14]","[[2, 5], [3, 8], [11, 14]]"
B1,15,16,23,6,0,0,"[2, 5, 7, 8, 11, 14]","[[2, 7], [5, 8], [11, 14]]"
B1,16,17,23,6,0,0,"[2, 6, 8, 9, 12, 13]","[[2, 12], [6, 8], [9, 13]]"
B1,17,18,23,6,0,0,"[2, 6, 8, 12, 13, 14]","[[2, 12], [6, 14], [8, 13]]"
B1,18,19,23,6,0,0,"[3, 4, 7, 8, 11, 12]","[[3, 4], [7, 8], [11, 12]]"
B1,19,20,23,6,0,0,"[3, 5, 7, 8, 11, 14]","[[3, 5], [7, 8], [11, 14]]"
B1,20,21,23,6,0,0,"[3, 4, 7, 8, 11, 12]","[[3, 8], [4, 11], [7, 12]]"
B1,21,22,23,6,0,0,"[3, 5, 7, 8, 11, 14]","[[3, 8], [5, 7], [11, 14]]"
B1,22,23,23,6,0,0,"[4, 5, 7, 8, 11, 14]","[[4, 5], [7, 8], [11, 14]]"
B1,23,24,22,6,0,0,"[0, 2, 4, 8, 11, 14]","[[0, 2], [4, 8], [11, 14]]"
B1,24,25,22,6,0,0,"[0, 2, 8, 11, 13, 14]","[[0, 2], [8, 13], [11, 14]]"
B1,25,26,22,6,0,0,"[0, 2, 5, 8, 11, 14]","[[0, 5], [2, 8], [11, 14]]"
B1,26,27,22,6,0,0,"[0, 4, 5, 8, 11, 14]","[[0, 5], [4, 11], [8, 14]]"
B1,27,28,22,6,0,0,"[0, 5, 7, 8, 11, 14]","[[0, 5], [7, 8], [11, 14]]"
B1,28,29,22,6,0,0,"[0, 1, 2, 8, 11, 14]","[[0, 8], [1, 2], [11, 14]]"
B1,29,30,22,6,0,0,"[0, 1, 4, 8, 11, 12]","[[0, 8], [1, 4], [11, 12]]"
B1,30,31,22,6,0,0,"[0, 2, 4, 8, 10, 11]","[[0, 8], [2, 4], [10, 11]]"
B1,31,32,22,6,0,0,"[0, 2, 4, 8, 11, 12]","[[0, 8], [2, 4], [11, 12]]"
B1,32,33,22,6,0,0,"[0, 2, 6, 8, 9, 10]","[[0, 9], [2, 10], [6, 8]]"
B1,33,34,22,6,0,0,"[0, 1, 4, 8, 10, 12]","[[0, 12], [1, 4], [8, 10]]"
B1,34,35,22,6,0,0,"[0, 3, 4, 8, 11, 12]","[[0, 12], [3, 8], [4, 11]]"
B1,35,36,22,6,0,0,"[0, 4, 6, 8, 10, 12]","[[0, 12], [4, 6], [8, 10]]"
B1,36,37,22,6,0,0,"[0, 4, 8, 9, 10, 12]","[[0, 12], [4, 9], [8, 10]]"
B1,37,38,22,6,0,0,"[1, 2, 7, 8, 11, 13]","[[1, 2], [7, 8], [11, 13]]"
B1,38,39,22,6,0,0,"[1, 2, 8, 11, 12, 13]","[[1, 2], [8, 13], [11, 12]]"
B1,39,40,22,6,0,0,"[1, 2, 8, 11, 13, 14]","[[1, 2], [8, 13], [11, 14]]"
B1,40,41,22,6,0,0,"[1, 3, 7, 8, 11, 12]","[[1, 3], [7, 8], [11, 12]]"
B1,41,42,22,6,0,0,"[1, 3, 4, 7, 8, 12]","[[1, 4], [3, 8], [7, 12]]"
B1,42,43,22,6,0,0,"[1, 3, 4, 8, 11, 12]","[[1, 4], [3, 8], [11, 12]]"
B1,43,44,22,6,0,0,"[1, 4, 7, 8, 12, 13]","[[1, 4], [7, 12], [8, 13]]"
B1,44,45,22,6,0,0,"[1, 5, 7, 8, 11, 14]","[[1, 5], [7, 8], [11, 14]]"
B1,45,46,22,6,0,0,"[1, 2, 6, 8, 12, 13]","[[1, 6], [2, 12], [8, 13]]"
B1,46,47,22,6,0,0,"[1, 5, 7, 8, 11, 14]","[[1, 8], [5, 7], [11, 14]]"
B1,47,48,22,6,0,0,"[1, 3, 5, 8, 11, 12]","[[1, 11], [3, 8], [5, 12]]"
B1,48,49,22,6,0,0,"[1, 3, 7, 8, 11, 12]","[[1, 11], [3, 8], [7, 12]]"
B1,49,50,22,6,0,0,"[1, 2, 7, 8, 13, 14]","[[1, 14], [2, 7], [8, 13]]"
