target,kind,source_class,family,feature,a,c,l1_error,feature_values,predicted_residual
free_sum,nearest,other_station_feature,op__all__C_delta__union_cpath,op__all__C_delta__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 11, ""O0"": 12, ""O1"": 12}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 2}"
free_sum,nearest,shared_B_feature,op__shared__C_delta__union_cpath,op__shared__C_delta__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 11, ""O0"": 12, ""O1"": 12}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 2}"
free_sum,nearest,reverse_partner_feature,op__reverse__C_delta__union_cpath,op__reverse__C_delta__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 11, ""O0"": 12, ""O1"": 12}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 2}"
free_sum,nearest,station_role_feature,op__station_XY__to_A__union_cpath,op__station_XY__to_A__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 10, ""O0"": 12, ""O1"": 13}","{""B0"": 0, ""B1"": 0, ""O0"": 2, ""O1"": 3}"
free_sum,nearest,station_role_feature,op__station_YZ__to_A__union_cpath,op__station_YZ__to_A__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 10, ""O0"": 12, ""O1"": 13}","{""B0"": 0, ""B1"": 0, ""O0"": 2, ""O1"": 3}"
free_sum,nearest,station_role_feature,op__station_YZ__from_A__union_cpath,op__station_YZ__from_A__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 10, ""O0"": 12, ""O1"": 13}","{""B0"": 0, ""B1"": 0, ""O0"": 2, ""O1"": 3}"
free_sum,nearest,station_role_feature,op__station_ZT__from_A__union_cpath,op__station_ZT__from_A__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 10, ""O0"": 12, ""O1"": 13}","{""B0"": 0, ""B1"": 0, ""O0"": 2, ""O1"": 3}"
free_sum,nearest,role_pair_feature,op__rolepair_IW_YZ__to_A__union_cpath,op__rolepair_IW_YZ__to_A__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 10, ""O0"": 12, ""O1"": 13}","{""B0"": 0, ""B1"": 0, ""O0"": 2, ""O1"": 3}"
free_sum,nearest,role_pair_feature,op__rolepair_WX_ZT__from_A__union_cpath,op__rolepair_WX_ZT__from_A__union_cpath__range,1,-10,1,"{""B0"": 10, ""B1"": 10, ""O0"": 12, ""O1"": 13}","{""B0"": 0, ""B1"": 0, ""O0"": 2, ""O1"": 3}"
free_sum,nearest,q0_station_feature,op__q0__A_delta__union_cpath,op__q0__A_delta__union_cpath__compl_range,-1,14,1,"{""B0"": 13, ""B1"": 13, ""O0"": 12, ""O1"": 11}","{""B0"": 1, ""B1"": 1, ""O0"": 2, ""O1"": 3}"
free_sum,nearest,q0_station_feature,op__q0__C_delta__union_cpath,op__q0__C_delta__union_cpath__min,1,0,2,"{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}"
free_sum,nearest,other_station_feature,op__all__C_delta__union_cpath,op__all__C_delta__union_cpath__min,1,0,2,"{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}"
free_sum,nearest,shared_B_feature,op__shared__C_delta__union_cpath,op__shared__C_delta__union_cpath__min,1,0,2,"{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}"
free_sum,nearest,reverse_partner_feature,op__reverse__C_delta__union_cpath,op__reverse__C_delta__union_cpath__min,1,0,2,"{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}"
free_sum,nearest,q0_station_feature,op__q0__A_delta__union_cpath,op__q0__A_delta__union_cpath__compl_min,1,0,2,"{""B0"": 1, ""B1"": 1, ""O0"": 1, ""O1"": 3}","{""B0"": 1, ""B1"": 1, ""O0"": 1, ""O1"": 3}"
free_sum,nearest,other_station_feature,op__all__A_delta__union_cpath,op__all__A_delta__union_cpath__compl_min,1,0,2,"{""B0"": 1, ""B1"": 1, ""O0"": 1, ""O1"": 3}","{""B0"": 1, ""B1"": 1, ""O0"": 1, ""O1"": 3}"
free_sum,nearest,station_role_feature,op__station_TI__C_delta__union_cpath,op__station_TI__C_delta__union_cpath__min,1,0,2,"{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}"
free_sum,nearest,station_role_feature,op__station_XY__C_delta__union_cpath,op__station_XY__C_delta__union_cpath__min,1,0,2,"{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}"
free_sum,nearest,role_pair_feature,op__rolepair_TI_XY__C_delta__union_cpath,op__rolepair_TI_XY__C_delta__union_cpath__min,1,0,2,"{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}","{""B0"": 0, ""B1"": 1, ""O0"": 2, ""O1"": 1}"
free_sum,nearest,role_pair_feature,op__rolepair_IW_YZ__B_delta__minus_cpath,op__rolepair_IW_YZ__B_delta__minus_cpath__size,1,0,2,"{""B0"": 0, ""B1"": 2, ""O0"": 2, ""O1"": 2}","{""B0"": 0, ""B1"": 2, ""O0"": 2, ""O1"": 2}"
relay_max,nearest,q0_station_feature,op__q0__A_delta__inter_cpath,op__q0__A_delta__inter_cpath__sum,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,q0_station_feature,op__q0__A_delta__inter_cpath,op__q0__A_delta__inter_cpath__size,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,q3_station_feature,op__q3__B_delta__inter_cpath,op__q3__B_delta__inter_cpath__size,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,other_station_feature,op__all__B_delta__inter_cpath,op__all__B_delta__inter_cpath__size,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,q3_station_feature,op__q3__slot_delta__inter_cpath,op__q3__slot_delta__inter_cpath__size,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,other_station_feature,op__all__slot_delta__inter_cpath,op__all__slot_delta__inter_cpath__size,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,station_role_feature,op__station_ZT__A_delta__inter_cpath,op__station_ZT__A_delta__inter_cpath__sum,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,role_pair_feature,op__rolepair_WX_ZT__A_delta__inter_cpath,op__rolepair_WX_ZT__A_delta__inter_cpath__sum,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,role_pair_feature,op__rolepair_IW_YZ__B_delta__inter_cpath,op__rolepair_IW_YZ__B_delta__inter_cpath__size,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,role_pair_feature,op__rolepair_WX_ZT__A_delta__inter_cpath,op__rolepair_WX_ZT__A_delta__inter_cpath__size,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,role_pair_feature,op__rolepair_IW_YZ__slot_delta__inter_cpath,op__rolepair_IW_YZ__slot_delta__inter_cpath__size,-1,0,1,"{""B0"": 2, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,q0_station_feature,set__q0__to_B,set__q0__to_B__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,q3_station_feature,set__q3__to_C,set__q3__to_C__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,other_station_feature,set__all__to_B,set__all__to_B__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,other_station_feature,set__all__to_C,set__all__to_C__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,q0_station_feature,set__q0__from_B,set__q0__from_B__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,q0_station_feature,set__q0__from_C,set__q0__from_C__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,q3_station_feature,set__q3__from_B,set__q3__from_B__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,other_station_feature,set__all__from_B,set__all__from_B__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_max,nearest,other_station_feature,set__all__from_C,set__all__from_C__compl_min,-2,0,1,"{""B0"": 1, ""B1"": 0, ""O0"": 0, ""O1"": 0}","{""B0"": -2, ""B1"": 0, ""O0"": 0, ""O1"": 0}"
relay_sum,nearest,q3_station_feature,set__q3__from_C,set__q3__from_C__range,-1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,q3_station_feature,set__q3__from_fiber_mod15,set__q3__from_fiber_mod15__range,-1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,q0_station_feature,op__q0__from_C__cpath_minus,op__q0__from_C__cpath_minus__range,-1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,q3_station_feature,op__q3__from_C__inter_cpath,op__q3__from_C__inter_cpath__range,-1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,q0_station_feature,op__q0__from_fiber_mod15__cpath_minus,op__q0__from_fiber_mod15__cpath_minus__range,-1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,q3_station_feature,op__q3__from_fiber_mod15__inter_cpath,op__q3__from_fiber_mod15__inter_cpath__range,-1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,q3_station_feature,op__q3__to_B__cpath_minus,op__q3__to_B__cpath_minus__sum,1,-1,2,"{""B0"": 0, ""B1"": 2, ""O0"": 0, ""O1"": 1}","{""B0"": -1, ""B1"": 1, ""O0"": -1, ""O1"": 0}"
relay_sum,nearest,q3_station_feature,op__q3__to_slot__cpath_minus,op__q3__to_slot__cpath_minus__sum,1,-1,2,"{""B0"": 0, ""B1"": 2, ""O0"": 0, ""O1"": 1}","{""B0"": -1, ""B1"": 1, ""O0"": -1, ""O1"": 0}"
relay_sum,nearest,role_pair_feature,set__rolepair_WX_ZT__to_A,set__rolepair_WX_ZT__to_A__min,1,-2,2,"{""B0"": 1, ""B1"": 3, ""O0"": 1, ""O1"": 2}","{""B0"": -1, ""B1"": 1, ""O0"": -1, ""O1"": 0}"
relay_sum,nearest,q0_station_feature,op__q0__to_B__cpath_minus,op__q0__to_B__cpath_minus__size,-3,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 1, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,role_pair_feature,set__rolepair_TI_XY__from_A,set__rolepair_TI_XY__from_A__min,1,-2,2,"{""B0"": 1, ""B1"": 3, ""O0"": 1, ""O1"": 2}","{""B0"": -1, ""B1"": 1, ""O0"": -1, ""O1"": 0}"
relay_sum,nearest,q0_station_feature,op__q0__from_B__cpath_minus,op__q0__from_B__cpath_minus__size,-3,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 1, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,q0_station_feature,op__q0__to_slot__cpath_minus,op__q0__to_slot__cpath_minus__size,-3,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 1, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,q0_station_feature,op__q0__from_slot__cpath_minus,op__q0__from_slot__cpath_minus__size,-3,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 1, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,role_pair_feature,op__rolepair_WX_ZT__to_A__minus_cpath,op__rolepair_WX_ZT__to_A__minus_cpath__min,1,-2,2,"{""B0"": 1, ""B1"": 3, ""O0"": 1, ""O1"": 2}","{""B0"": -1, ""B1"": 1, ""O0"": -1, ""O1"": 0}"
relay_sum,nearest,station_role_feature,op__station_XY__A_delta__inter_cpath,op__station_XY__A_delta__inter_cpath__size,-3,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 1, ""O1"": 0}","{""B0"": 0, ""B1"": 0, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,role_pair_feature,op__rolepair_TI_XY__from_A__minus_cpath,op__rolepair_TI_XY__from_A__minus_cpath__min,1,-2,2,"{""B0"": 1, ""B1"": 3, ""O0"": 1, ""O1"": 2}","{""B0"": -1, ""B1"": 1, ""O0"": -1, ""O1"": 0}"
relay_sum,nearest,station_role_feature,set__station_TI__C_delta,set__station_TI__C_delta__max,-1,3,2,"{""B0"": 3, ""B1"": 1, ""O0"": 6, ""O1"": 3}","{""B0"": 0, ""B1"": 2, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,station_role_feature,set__station_TI__C_delta,set__station_TI__C_delta__min,-1,3,2,"{""B0"": 3, ""B1"": 1, ""O0"": 6, ""O1"": 3}","{""B0"": 0, ""B1"": 2, ""O0"": -3, ""O1"": 0}"
relay_sum,nearest,station_role_feature,set__station_TI__C_delta,set__station_TI__C_delta__sum,-1,3,2,"{""B0"": 3, ""B1"": 1, ""O0"": 6, ""O1"": 3}","{""B0"": 0, ""B1"": 2, ""O0"": -3, ""O1"": 0}"
