rank,family,field,component_count,purity_total,score,exact_partition,ordered_exact_by_boundary_gap,majority_order_by_boundary_gap,component_rows
1,component_plus_field_partition,from_C,9,18,-42,False,False,"[0, 2, 0, 1, 1, 1, 0, 2, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}]"
2,component_plus_field_partition,from_fiber,9,18,-42,False,False,"[0, 2, 0, 1, 1, 1, 0, 2, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}]"
3,component_plus_field_partition,to_C,9,18,-42,False,False,"[0, 2, 1, 0, 1, 1, 0, 3, 2]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}]"
4,component_plus_field_partition,to_fiber,9,18,-42,False,False,"[0, 2, 1, 0, 1, 1, 0, 3, 2]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}]"
5,field_gated_C_endpoint_incidence,from_C,9,18,-42,False,False,"[0, 2, 0, 1, 1, 1, 2, 0, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}]"
6,field_gated_C_endpoint_incidence,from_fiber,9,18,-42,False,False,"[0, 2, 0, 1, 1, 1, 2, 0, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}]"
7,field_gated_C_endpoint_incidence,to_C,9,18,-42,False,False,"[0, 2, 1, 0, 1, 1, 3, 0, 2]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}]"
8,field_gated_C_endpoint_incidence,to_fiber,9,18,-42,False,False,"[0, 2, 1, 0, 1, 1, 3, 0, 2]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}]"
9,component_plus_field_partition,derived.inside_captured_row,9,16,-46,False,False,"[0, 1, 1, 1, 0, 2, 1, 2, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""2"": 3, ""3"": 2}, ""gap"": 7, ""majority_form"": 2, ""row_count"": 7}, {""form_counts"": {""0"": 2, ""2"": 1, ""3"": 2}, ""gap"": 2, ""majority_form"": 0, ""row_count"": 5}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 3}]"
10,field_gated_C_endpoint_incidence,derived.inside_captured_row,9,16,-46,False,False,"[0, 1, 1, 1, 0, 2, 1, 2, 3]","[{""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 3}, {""form_counts"": {""0"": 2, ""2"": 1, ""3"": 2}, ""gap"": 2, ""majority_form"": 0, ""row_count"": 5}, {""form_counts"": {""0"": 2, ""2"": 3, ""3"": 2}, ""gap"": 7, ""majority_form"": 2, ""row_count"": 7}]"
11,component_plus_field_partition,derived.C_delta_mod15,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
12,component_plus_field_partition,derived.C_transition,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
13,component_plus_field_partition,derived.C_transition_rev,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
14,component_plus_field_partition,fiber_delta_mod60,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
15,field_gated_C_endpoint_incidence,derived.C_delta_mod15,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
