rank,family,field,component_count,purity_total,score,exact_partition,ordered_exact_by_boundary_gap,majority_order_by_boundary_gap,component_rows
16,field_gated_C_endpoint_incidence,derived.C_transition,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
17,field_gated_C_endpoint_incidence,derived.C_transition_rev,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
18,field_gated_C_endpoint_incidence,fiber_delta_mod60,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
19,component_plus_field_partition,from_A,16,18,-126,False,False,"[0, 0, 2, 0, 1, 1, 1, 0, 1, 1, 2, 1, 2, 0, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 2}, ""gap"": 12, ""majority_form"": 3, ""row_count"": 3}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1}, ""gap"": -3, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 2, ""3"": 1}, ""gap"": 3, ""majority_form"": 2, ""row_count"": 3}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 10, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -52, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}]"
20,component_plus_field_partition,to_A,16,18,-126,False,False,"[0, 0, 0, 2, 1, 1, 0, 1, 1, 1, 2, 1, 0, 2, 2, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 3}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 3}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 1, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}]"
21,field_gated_C_endpoint_incidence,from_A,17,18,-138,False,False,"[0, 0, 2, 0, 1, 1, 1, 1, 1, 0, 3, 2, 1, 2, 0, 0, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1}, ""gap"": -3, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 10, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -52, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 1}, ""gap"": 3, ""majority_form"": 2, ""row_count"": 3}]"
22,field_gated_C_endpoint_incidence,to_A,17,18,-138,False,False,"[0, 2, 0, 0, 2, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 2, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 1, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 3}]"
23,component_plus_field_partition,slot_delta_mod15,18,20,-148,False,False,"[0, 0, 3, 2, 1, 0, 1, 0, 1, 1, 1, 2, 3, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 2, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 2}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 4}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}]"
24,field_gated_C_endpoint_incidence,slot_delta_mod15,18,20,-148,False,False,"[0, 0, 3, 2, 1, 0, 1, 0, 1, 1, 1, 2, 3, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 2, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 2}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 4}]"
25,component_plus_field_partition,from_B,19,21,-159,False,False,"[0, 3, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 2, 2, 3, 1, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 2, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 3}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}]"
