rank,family,field,component_count,purity_total,score,exact_partition,ordered_exact_by_boundary_gap,majority_order_by_boundary_gap,component_rows
26,component_plus_field_partition,from_slot,19,21,-159,False,False,"[0, 3, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 2, 2, 3, 1, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 2, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 3}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}]"
27,component_plus_field_partition,to_B,19,21,-159,False,False,"[0, 3, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 3, 2, 1, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 2}, ""gap"": 12, ""majority_form"": 3, ""row_count"": 4}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 2, ""3"": 1}, ""gap"": 3, ""majority_form"": 2, ""row_count"": 3}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -2, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}]"
28,component_plus_field_partition,to_slot,19,21,-159,False,False,"[0, 3, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 3, 2, 1, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 2}, ""gap"": 12, ""majority_form"": 3, ""row_count"": 4}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 2, ""3"": 1}, ""gap"": 3, ""majority_form"": 2, ""row_count"": 3}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -2, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}]"
29,field_gated_C_endpoint_incidence,from_B,19,21,-159,False,False,"[0, 3, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 2, 2, 3, 1, 3, 2, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 3}, {""form_counts"": {""0"": 1, ""2"": 2, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 4}]"
30,field_gated_C_endpoint_incidence,from_slot,19,21,-159,False,False,"[0, 3, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 2, 2, 3, 1, 3, 2, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 3}, {""form_counts"": {""0"": 1, ""2"": 2, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 4}]"
31,field_gated_C_endpoint_incidence,to_B,19,21,-159,False,False,"[0, 3, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 3, 2, 1, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -2, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 2, ""3"": 1}, ""gap"": 3, ""majority_form"": 2, ""row_count"": 3}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 2}, ""gap"": 12, ""majority_form"": 3, ""row_count"": 4}]"
32,field_gated_C_endpoint_incidence,to_slot,19,21,-159,False,False,"[0, 3, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 3, 2, 1, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -2, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 2, ""3"": 1}, ""gap"": 3, ""majority_form"": 2, ""row_count"": 3}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 2}, ""gap"": 12, ""majority_form"": 3, ""row_count"": 4}]"
33,component_plus_field_partition,edge_role,20,20,-172,False,False,"[0, 2, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 3, 2, 1, 2, 3, 2]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -1, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -2, ""majority_form"": 3, ""row_count"": 1}]"
34,field_gated_C_endpoint_incidence,edge_role,20,20,-172,False,False,"[0, 2, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 3, 2, 1, 2, 3, 2]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -2, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -1, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 2}]"
