rank,key_name,group_count,purity_total,score,exact_aggregation,ordered_exact_by_boundary_gap,majority_order_by_boundary_gap,groups
20,C_delta_mod15_mod_4|row_count_mod_5,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 2)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 2)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 2)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
21,C_delta_mod15_mod_4|row_count_mod_6,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 2)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 2)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 2)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
22,C_delta_mod15_mod_4|row_count_mod_7,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 2)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 2)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 2)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
23,C_delta_mod15_mod_4|slot_max_mod_2,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 1)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
24,C_delta_mod15_mod_4|slot_max_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 3)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
25,C_delta_mod15_mod_4|slot_min,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
26,C_delta_mod15_mod_4|slot_min_floor_div_2,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
27,C_delta_mod15_mod_4|slot_min_floor_div_3,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
28,C_delta_mod15_mod_4|slot_min_floor_div_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
29,C_delta_mod15_mod_4|slot_min_floor_div_5,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
30,C_delta_mod15_mod_4|slot_min_floor_div_6,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
31,C_delta_mod15_mod_4|slot_min_mod_2,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
32,C_delta_mod15_mod_4|slot_min_mod_3,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
33,C_delta_mod15_mod_4|slot_min_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
34,C_delta_mod15_mod_4|slot_min_mod_5,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
35,C_delta_mod15_mod_4|slot_min_mod_6,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
36,C_delta_mod15_mod_4|slot_min_mod_7,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
37,C_delta_mod15_mod_4|to_C_sum_mod_2,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
38,base_component_id_floor_div_6|outside_boundary_span_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 3)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(0, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(0, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(0, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
39,base_component_id_floor_div_6|slot_max_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 3)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(0, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(0, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(0, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
40,from_C_sum_mod_2|outside_boundary_span_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 3)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(0, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(0, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(0, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
